model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,selected_profile,pause_validation_auprc,pause_validation_fold_mean_auprc,hgb_validation_status,hgb_validation_auprc,hgb_validation_fold_mean_auprc,hgb_test_status,hgb_test_auprc,hgb_test_deduplicated_auprc,pause_test_auprc,pause_test_deduplicated_auprc,delta_validation_auprc,delta_validation_fold_mean_auprc,delta_test_auprc,delta_test_deduplicated_auprc
DrugBAN,human,seed_5,drug,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.7,0.833333333333,,,,
DrugBAN,human,seed_5,target,base,0.8,0.1,uncertainty,0.197712418301,,group_cv_unavailable,,,complete,0.181818181818,0.217391304348,0.367731456384,0.38292561469,,,-0.185913274566,-0.165534310342
DrugBAN,human,seed_5,target,base,0.8,0.2,uncertainty,0.315873015873,,group_cv_unavailable,,,complete,0.142857142857,0.175,0.231651138716,0.255102040816,,,-0.088793995859,-0.080102040816
DrugBAN,human,seed_5,target,base,0.9,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.25,0.366666666667,,,,
DrugBAN,human,seed_5,target,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.7,0.833333333333,,,,
DrugBAN,human,seed_6,drug,base,0.8,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.488888888889,0.5,,,,
DrugBAN,human,seed_6,drug,base,0.8,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.625,0.642857142857,,,,
DrugBAN,human,seed_6,drug,base,0.9,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_6,drug,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_6,target,base,0.8,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.488888888889,0.5,,,,
DrugBAN,human,seed_6,target,base,0.8,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,0.625,0.642857142857,,,,
DrugBAN,human,seed_6,target,base,0.9,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_6,target,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_7,drug,base,0.8,0.1,uncertainty,0.416666666667,,group_cv_unavailable,,,complete,0.052631578947,0.057142857143,0.219298245614,0.222222222222,,,-0.166666666667,-0.165079365079
DrugBAN,human,seed_7,drug,base,0.8,0.2,uncertainty,1.0,,group_cv_unavailable,,,complete,0.029411764706,0.032258064516,0.066666666667,0.071428571429,,,-0.037254901961,-0.039170506913
DrugBAN,human,seed_7,drug,base,0.9,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_7,drug,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_7,target,base,0.8,0.1,uncertainty,0.45,0.666666666667,complete,0.083333333333,0.083333333333,complete,0.052631578947,0.057142857143,0.219298245614,0.222222222222,-0.366666666667,-0.583333333334,-0.166666666667,-0.165079365079
DrugBAN,human,seed_7,target,base,0.8,0.2,uncertainty,0.333333333333,,group_cv_unavailable,,,complete,0.029411764706,0.032258064516,0.066666666667,0.071428571429,,,-0.037254901961,-0.039170506913
DrugBAN,human,seed_7,target,base,0.9,0.1,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_7,target,base,0.9,0.2,uncertainty,,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,uncertainty,0.166105499439,,group_cv_unavailable,,,complete,0.1875,0.214285714286,0.505842807439,0.564617808872,,,-0.318342807439,-0.350332094586
DrugBAN,human,seed_8,drug,base,0.8,0.2,prior,0.118055555556,0.222222222222,complete,0.054411764706,0.060714285714,complete,0.122807017544,0.14,0.184204814886,0.194512309396,-0.06364379085,-0.161507936508,-0.061397797342,-0.054512309396
DrugBAN,human,seed_8,drug,base,0.9,0.1,uncertainty,0.392258064516,,group_cv_unavailable,,,complete,0.109090909091,0.125,0.21192292325,0.223115773116,,,-0.102832014159,-0.098115773116
DrugBAN,human,seed_8,drug,base,0.9,0.2,prior,0.091093117409,0.208333333333,complete,0.060606060606,0.060661764706,complete,0.081632653061,0.095238095238,0.128787878788,0.140104529617,-0.030487056803,-0.147671568627,-0.047155225727,-0.044866434379
DrugBAN,human,seed_8,target,base,0.8,0.1,uncertainty,0.246982758621,,group_cv_unavailable,,,complete,0.1875,0.214285714286,0.505842807439,0.564617808872,,,-0.318342807439,-0.350332094586
DrugBAN,human,seed_8,target,base,0.8,0.2,uncertainty,0.091666666667,,group_cv_unavailable,,,complete,0.122807017544,0.14,0.28383580705,0.294116945772,,,-0.161028789506,-0.154116945772
DrugBAN,human,seed_8,target,base,0.9,0.1,uncertainty,0.386396011396,,group_cv_unavailable,,,complete,0.109090909091,0.125,0.21192292325,0.223115773116,,,-0.102832014159,-0.098115773116
DrugBAN,human,seed_8,target,base,0.9,0.2,uncertainty_prior_support,0.552631578947,0.75,complete,0.07196969697,0.065476190476,complete,0.081632653061,0.095238095238,0.430273833671,0.434043778802,-0.480661881977,-0.684523809524,-0.34864118061,-0.338805683564
PACE,bindingdb,seed_4,drug,base,0.8,0.1,uncertainty_support,0.406856757085,0.418608437048,complete,0.541270221355,0.583313798598,complete,0.58571378948,,0.458309011615,,0.13441346427,0.16470536155,0.127404777865,
PACE,bindingdb,seed_4,drug,base,0.8,0.2,uncertainty_support,0.439485984322,0.464973695863,complete,0.522374734317,0.538523154701,complete,0.508036335683,,0.450215713688,,0.082888749995,0.073549458838,0.057820621995,
PACE,bindingdb,seed_4,drug,base,0.9,0.1,uncertainty_support,0.427222019381,0.449509445316,complete,0.567354190938,0.624399528668,complete,0.656215152369,,0.372725464581,,0.140132171557,0.174890083352,0.283489687788,
PACE,bindingdb,seed_4,drug,base,0.9,0.2,uncertainty_support,0.356822244681,0.387152213827,complete,0.439303319705,0.440756259473,complete,0.605529927964,,0.385812739751,,0.082481075024,0.053604045646,0.219717188213,
PACE,bindingdb,seed_4,target,base,0.8,0.1,uncertainty,0.262520358958,0.37893525733,complete,0.149345307787,0.164643556586,complete,0.537058054817,,0.212464741535,,-0.113175051171,-0.214291700744,0.324593313282,
PACE,bindingdb,seed_4,target,base,0.8,0.2,uncertainty,0.203964289693,0.25692497795,complete,0.142255769566,0.284163368065,complete,0.632588076385,,0.197782383469,,-0.061708520127,0.027238390115,0.434805692916,
PACE,bindingdb,seed_4,target,base,0.9,0.1,prior,0.279411490406,0.452878304142,complete,0.164532509867,0.329998135702,complete,0.515582258497,,0.25112067603,,-0.114878980539,-0.12288016844,0.264461582467,
PACE,bindingdb,seed_4,target,base,0.9,0.2,uncertainty,0.136490573198,0.216287393968,complete,0.121750618952,0.403305632367,complete,0.621067533236,,0.224129100067,,-0.014739954246,0.187018238399,0.396938433169,
PACE,bindingdb,seed_5,drug,base,0.8,0.1,uncertainty_support,0.444832403603,0.480802808186,complete,0.55405246173,0.558295872688,complete,0.590223989644,,0.415237605529,,0.109220058127,0.077493064502,0.174986384115,
