model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,71,7,64,12.0,0.1875,0.5,0.1875,3,0.5625,0.1875,1.0,0.046875,0.183035714286,0.8125,0.0,10,0.140845070423,56.0,12.0,0.214285714286,0.5,0.214285714286,3.0,0.642857142857,0.214285714286,1.0,0.053571428571,0.188775510204,0.785714285714,0.0
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,uncertainty,primary,group_cv_unavailable,,,,43,4,39,3.0,0.076923076923,0.472222222222,0.166105499439,4,1.0,0.25,3.25,0.333333333333,0.5,0.942857142857,0.01978021978,8,0.186046511628,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,prior,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,uncertainty_support,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,43,4,39,3.0,0.076923076923,0.62037037037,0.24,4,1.0,0.25,3.25,0.333333333333,0.5,0.942857142857,0.01978021978,8,0.186046511628,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,43,4,39,3.0,0.076923076923,0.12037037037,0.057034323701,4,0.0,0.0,0.0,0.0,0.25,0.914285714286,-0.008791208791,8,0.186046511628,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,43,4,39,3.0,0.076923076923,0.101851851852,0.056005398111,4,0.0,0.0,0.0,0.0,0.25,0.914285714286,-0.008791208791,8,0.186046511628,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,validation,fixed_hgb_upe,baseline,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,71,7,64,12.0,0.1875,0.775641025641,0.505842807439,6,4.0,0.666666666667,3.555555555556,0.333333333333,0.428571428571,0.862068965517,0.049568965517,13,0.183098591549,56.0,12.0,0.214285714286,0.784090909091,0.564617808872,6.0,5.0,0.833333333333,3.888888888889,0.416666666667,0.5,0.86,0.074285714286
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,71,7,64,12.0,0.1875,0.557692307692,0.265393743962,6,2.0,0.333333333333,1.777777777778,0.166666666667,0.285714285714,0.827586206897,0.015086206897,13,0.183098591549,56.0,12.0,0.214285714286,0.549242424242,0.282159401855,6.0,2.0,0.333333333333,1.555555555556,0.166666666667,0.285714285714,0.8,0.014285714286
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.1,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,71,7,64,12.0,0.1875,0.544871794872,0.251237037648,6,2.0,0.333333333333,1.777777777778,0.166666666667,0.285714285714,0.827586206897,0.015086206897,13,0.183098591549,56.0,12.0,0.214285714286,0.537878787879,0.270750039917,6.0,2.0,0.333333333333,1.555555555556,0.166666666667,0.285714285714,0.8,0.014285714286
