model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
DrugBAN,human,seed_8,drug,0.2,56.25,7.25,11.25,0.29947552447525,0.6262237762237762,0.32674825174852623,0.45535714285725004,1.0,0.54464285714275,3.75,0.45535714285714285
DrugBAN,human,seed_8,target,0.05,56.25,7.25,2.75,0.25,1.0,0.75,0.077380952381,0.41964285714285715,0.34226190476185714,2.0,0.25
DrugBAN,human,seed_8,target,0.1,56.25,7.25,5.75,0.34166666666675,0.95,0.60833333333325,0.26488095238075005,0.8392857142857143,0.5744047619049643,3.5,0.35416666666666663
DrugBAN,human,seed_8,target,0.2,56.25,7.25,11.25,0.29947552447525,0.6262237762237762,0.32674825174852623,0.45535714285725004,1.0,0.54464285714275,3.75,0.45535714285714285
PACE,bindingdb,seed_4,drug,0.05,131.25,22.5,6.75,0.20277777777775,1.0,0.79722222222225,0.06618417424875,0.3189481665288117,0.25276399228006174,5.5,0.20277777777777778
PACE,bindingdb,seed_4,drug,0.1,131.25,22.5,13.0,0.17579334365325,1.0,0.82420665634675,0.10736834849725,0.6228873724841467,0.5155190239868968,10.75,0.17579334365325078
PACE,bindingdb,seed_4,drug,0.2,131.25,22.5,26.25,0.1811463046755,0.816553544494721,0.635407239819221,0.22392128480825002,1.0,0.77607871519175,17.75,0.22392128480838158
PACE,bindingdb,seed_4,target,0.05,131.25,22.5,6.75,0.20277777777775,1.0,0.79722222222225,0.06618417424875,0.3189481665288117,0.25276399228006174,5.5,0.20277777777777778
PACE,bindingdb,seed_4,target,0.1,131.25,22.5,13.0,0.17579334365325,1.0,0.82420665634675,0.10736834849725,0.6228873724841467,0.5155190239868968,10.75,0.17579334365325078
PACE,bindingdb,seed_4,target,0.2,131.25,22.5,26.25,0.1811463046755,0.816553544494721,0.635407239819221,0.22392128480825002,1.0,0.77607871519175,17.75,0.22392128480838158
