model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,1779,76,15,61,13.0,0.21311475409836064,19.0
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,1779,12,1,11,0.0,0.0,0.0
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,1779,12,2,10,0.0,0.0,0.0
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,1779,76,8,68,16.0,0.23529411764705882,19.0
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,1779,76,15,61,13.0,0.21311475409836064,19.0
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,1779,12,1,11,0.0,0.0,0.0
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,1779,12,2,10,0.0,0.0,0.0
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,1779,185,18,167,37.0,0.2215568862275449,40.0
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,1779,185,37,148,28.0,0.1891891891891892,40.0
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,1779,42,4,38,3.0,0.07894736842105263,5.0
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,1779,42,8,34,2.0,0.058823529411764705,5.0
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,1779,185,18,167,37.0,0.2215568862275449,40.0
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,1779,185,37,148,28.0,0.1891891891891892,40.0
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,1779,42,4,38,3.0,0.07894736842105263,5.0
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,1779,42,8,34,2.0,0.058823529411764705,5.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,907,278,28,250,38.0,0.152,45.0
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,907,278,56,222,28.0,0.12612612612612611,45.0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,907,243,24,219,28.0,0.1278538812785388,34.0
