model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_profile,selection_reason,review_error_count,review_error_rate,review_recall_of_residual_errors,delta_review_error_rate_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count,pause_fraction_of_oracle_rate_headroom,pause_fraction_of_oracle_recall_headroom,pause_review_error_rate_gap_to_oracle,pause_error_recall_gap_to_oracle
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.1,uncertainty_support,one_standard_error,6.0,0.5,0.75,0.5,0.75,118,8.0,12,0.0,0.0,0.6666666666666666,1.0,8.0,0.6666666666666666,1.0,0.0,0.75,0.75,0.16666666666666663,0.25
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,uncertainty_support,one_standard_error,6.0,0.25,0.75,0.166666666667,0.5,118,8.0,24,0.083333333333,0.25,0.3333333333333333,1.0,6.0,0.2500000000003333,0.75,0.25,0.6666666666671113,0.6666666666666666,0.08333333333333331,0.25
PACE,biosnap,seed_6,target,base,0.8,0.1,0.05,prior,one_standard_error,2.0,0.222222222222,0.111111111111,0.0,0.0,187,18.0,9,0.222222222222,0.111111111111,1.0,0.5,7.0,0.777777777778,0.388888888889,0.2222222222222222,0.0,0.0,0.777777777778,0.388888888889
PACE,biosnap,seed_6,target,base,0.8,0.1,0.1,prior,one_standard_error,6.0,0.315789473684,0.333333333333,0.052631578947,0.055555555556,187,18.0,19,0.263157894737,0.277777777778,0.9473684210526316,1.0,13.0,0.6842105263156315,0.722222222222,0.2777777777777778,0.07692307692255622,0.07692307692371597,0.6315789473686316,0.666666666667
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,prior,one_standard_error,9.0,0.243243243243,0.5,0.0,0.0,187,18.0,37,0.243243243243,0.5,0.4864864864864865,1.0,9.0,0.2432432432434865,0.5,0.5,0.0,0.0,0.2432432432434865,0.5
PACE,biosnap,seed_6,target,base,0.8,0.2,0.05,uncertainty,uncertainty_selected,2.0,0.25,0.153846153846,0.0,0.0,166,13.0,8,0.25,0.153846153846,1.0,0.6153846153846154,6.0,0.75,0.4615384615386154,0.25,0.0,0.0,0.75,0.46153846153861544
PACE,biosnap,seed_6,target,base,0.8,0.2,0.1,uncertainty,uncertainty_selected,4.0,0.235294117647,0.307692307692,0.0,0.0,166,13.0,17,0.235294117647,0.307692307692,0.7647058823529411,1.0,9.0,0.5294117647059411,0.692307692308,0.3076923076923077,0.0,0.0,0.5294117647059411,0.692307692308
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,uncertainty,uncertainty_selected,6.0,0.181818181818,0.461538461538,0.0,0.0,166,13.0,33,0.181818181818,0.461538461538,0.3939393939393939,1.0,7.0,0.2121212121213939,0.538461538462,0.4615384615384615,0.0,0.0,0.21212121212139393,0.538461538462
PACE,biosnap,seed_6,target,base,0.9,0.1,0.05,uncertainty,uncertainty_selected,2.0,0.25,0.181818181818,0.0,0.0,157,11.0,8,0.25,0.181818181818,1.0,0.7272727272727273,6.0,0.75,0.5454545454547273,0.25,0.0,0.0,0.75,0.5454545454547273
PACE,biosnap,seed_6,target,base,0.9,0.1,0.1,uncertainty,uncertainty_selected,2.0,0.125,0.181818181818,0.0,0.0,157,11.0,16,0.125,0.181818181818,0.6875,1.0,9.0,0.5625,0.818181818182,0.1818181818181818,0.0,0.0,0.5625,0.818181818182
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,uncertainty,uncertainty_selected,6.0,0.193548387097,0.545454545455,0.0,0.0,157,11.0,31,0.193548387097,0.545454545455,0.3548387096774194,1.0,5.0,0.1612903225804193,0.4545454545449999,0.5454545454545454,0.0,0.0,0.16129032258041937,0.45454545454499995
PACE,biosnap,seed_6,target,base,0.9,0.2,0.05,prior,one_standard_error,2.0,0.285714285714,0.222222222222,0.0,0.0,140,9.0,7,0.285714285714,0.222222222222,1.0,0.7777777777777778,5.0,0.714285714286,0.5555555555557778,0.2857142857142857,0.0,0.0,0.714285714286,0.5555555555557778
PACE,biosnap,seed_6,target,base,0.9,0.2,0.1,prior,one_standard_error,3.0,0.214285714286,0.333333333333,-0.071428571429,-0.111111111111,140,9.0,14,0.285714285714,0.444444444444,0.6428571428571429,1.0,5.0,0.3571428571431429,0.555555555556,0.4444444444444444,-0.20000000000103996,-0.19999999999964,0.42857142857114294,0.666666666667
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,prior,one_standard_error,4.0,0.142857142857,0.444444444444,-0.035714285714,-0.111111111111,140,9.0,28,0.178571428571,0.555555555556,0.3214285714285714,1.0,4.0,0.1428571428575714,0.444444444444,0.5555555555555556,-0.2499999999972501,-0.25,0.1785714285715714,0.555555555556
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.05,uncertainty_support,one_standard_error,4.0,0.444444444444,0.222222222222,0.222222222222,0.111111111111,187,18.0,9,0.222222222222,0.111111111111,1.0,0.5,7.0,0.777777777778,0.388888888889,0.2222222222222222,0.2857142857139184,0.2857142857139184,0.555555555556,0.277777777778
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.1,uncertainty_support,one_standard_error,8.0,0.421052631579,0.444444444444,0.157894736842,0.166666666667,187,18.0,19,0.263157894737,0.277777777778,0.9473684210526316,1.0,13.0,0.6842105263156315,0.722222222222,0.2777777777777778,0.2307692307691302,0.2307692307697633,0.5263157894736317,0.555555555556
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,uncertainty_support,one_standard_error,9.0,0.243243243243,0.5,0.0,0.0,187,18.0,37,0.243243243243,0.5,0.4864864864864865,1.0,9.0,0.2432432432434865,0.5,0.5,0.0,0.0,0.2432432432434865,0.5
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.05,uncertainty_support,one_standard_error,5.0,0.625,0.384615384615,0.375,0.230769230769,166,13.0,8,0.25,0.153846153846,1.0,0.6153846153846154,6.0,0.75,0.4615384615386154,0.25,0.5,0.4999999999993333,0.375,0.23076923076961542
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.1,uncertainty_support,one_standard_error,6.0,0.352941176471,0.461538461538,0.117647058824,0.153846153846,166,13.0,17,0.235294117647,0.307692307692,0.7647058823529411,1.0,9.0,0.5294117647059411,0.692307692308,0.3076923076923077,0.22222222222308646,0.22222222222190122,0.41176470588194114,0.538461538462
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,uncertainty_support,one_standard_error,9.0,0.272727272727,0.692307692308,0.090909090909,0.230769230769,166,13.0,33,0.181818181818,0.461538461538,0.3939393939393939,1.0,7.0,0.2121212121213939,0.538461538462,0.4615384615384615,0.42857142857063274,0.4285714285706327,0.12121212121239394,0.30769230769199996
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.05,uncertainty_support,one_standard_error,3.0,0.375,0.272727272727,0.125,0.090909090909,157,11.0,8,0.25,0.181818181818,1.0,0.7272727272727273,6.0,0.75,0.5454545454547273,0.25,0.16666666666666666,0.16666666666644445,0.625,0.4545454545457273
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.1,uncertainty_support,one_standard_error,4.0,0.25,0.363636363636,0.125,0.181818181818,157,11.0,16,0.125,0.181818181818,0.6875,1.0,9.0,0.5625,0.818181818182,0.1818181818181818,0.2222222222222222,0.22222222222195062,0.4375,0.636363636364
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,uncertainty_support,one_standard_error,7.0,0.225806451613,0.636363636364,0.032258064516,0.090909090909,157,11.0,31,0.193548387097,0.545454545455,0.3548387096774194,1.0,5.0,0.1612903225804193,0.4545454545449999,0.5454545454545454,0.19999999999948007,0.20000000000000004,0.12903225806441937,0.36363636363600005
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.05,uncertainty_support,one_standard_error,3.0,0.428571428571,0.333333333333,0.142857142857,0.111111111111,140,9.0,7,0.285714285714,0.222222222222,1.0,0.7777777777777778,5.0,0.714285714286,0.5555555555557778,0.2857142857142857,0.19999999999971999,0.19999999999971999,0.5714285714289999,0.44444444444477776
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.1,uncertainty_support,one_standard_error,4.0,0.285714285714,0.444444444444,0.0,0.0,140,9.0,14,0.285714285714,0.444444444444,0.6428571428571429,1.0,5.0,0.3571428571431429,0.555555555556,0.4444444444444444,0.0,0.0,0.3571428571431429,0.555555555556
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,uncertainty_support,one_standard_error,7.0,0.25,0.777777777778,0.071428571429,0.222222222222,140,9.0,28,0.178571428571,0.555555555556,0.3214285714285714,1.0,4.0,0.1428571428575714,0.444444444444,0.5555555555555556,0.5000000000015001,0.5,0.0714285714285714,0.22222222222200005
PACE,biosnap,seed_7,target,base,0.8,0.1,0.05,uncertainty,uncertainty_selected,1.0,0.125,0.076923076923,0.0,0.0,163,13.0,8,0.125,0.076923076923,1.0,0.6153846153846154,7.0,0.875,0.5384615384616154,0.125,0.0,0.0,0.875,0.5384615384616154
PACE,biosnap,seed_7,target,base,0.8,0.1,0.1,uncertainty,uncertainty_selected,5.0,0.3125,0.384615384615,0.0,0.0,163,13.0,16,0.3125,0.384615384615,0.8125,1.0,8.0,0.5,0.615384615385,0.3846153846153846,0.0,0.0,0.5,0.615384615385
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,uncertainty,uncertainty_selected,5.0,0.151515151515,0.384615384615,0.0,0.0,163,13.0,33,0.151515151515,0.384615384615,0.3939393939393939,1.0,8.0,0.2424242424243939,0.615384615385,0.3846153846153846,0.0,0.0,0.24242424242439392,0.615384615385
PACE,biosnap,seed_7,target,base,0.8,0.2,0.05,uncertainty,uncertainty_selected,0.0,0.0,0.0,0.0,0.0,145,8.0,7,0.0,0.0,1.0,0.875,7.0,1.0,0.875,0.0,0.0,0.0,1.0,0.875
