split,model,dataset,test_run,group_axis,confidence_source,profile_label,auprc,delta_auprc_vs_U
test,TAPB,bindingdb,seed_5,target,base,P,0.44774375,0.026745249999999998
test,TAPB,bindingdb,seed_6,target,base,P,,
test,TAPB,bindingdb,seed_7,target,base,P,0.47800774999999995,0.14848324999999996
test,TAPB,bindingdb,seed_8,target,base,P,0.47974575,0.11065025
test,TAPB,biosnap,seed_4,target,base,P,0.22416225,0.05442425000000001
test,TAPB,biosnap,seed_5,target,base,P,0.13855925,0.00132525
test,TAPB,biosnap,seed_6,target,base,P,0.08003375,-0.04302600000000001
test,TAPB,biosnap,seed_7,target,base,P,0.28994025,0.04730000000000001
test,TAPB,biosnap,seed_8,target,base,P,0.33812825,0.11897025000000003
test,TAPB,human,seed_4,target,base,P,0.37651225,-0.09686349999999999
test,TAPB,human,seed_5,target,base,P,0.18623575,-0.18352424999999997
test,TAPB,human,seed_6,target,base,P,0.67545575,0.45773275
test,TAPB,human,seed_7,target,base,P,0.356355,-0.000983500000000026
test,TAPB,human,seed_8,target,base,P,0.54761525,0.14395475000000002
