model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,U2,validation_error_detection_auprc,0.285816,0.071881,,0.213935,0.285816,0.212165,0.242146,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.315026,0.187832,,0.127194,0.315026,0.183726,0.230127,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.250758,0.114359,,0.136399,0.129165,0.250758,0.16065,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.271464,0.013362,,0.258102,0.256937,0.271464,0.267905,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.27355,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.27355,0.249791,0.253811,0.249313,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.239837,0.058285,,0.181552,0.208877,0.203971,0.239837,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.271585,0.081483,,0.190101,0.198955,0.252034,0.271585,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_4,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.191131,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.191131,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_4,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.094752,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.094752,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_4,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.082237,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.082237,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_4,target,base,0.9,0.2,0.2,U2,validation_error_detection_auprc,0.8875,0.787183,,0.100317,0.8875,0.146548,0.770833,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_4,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.565344,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.565344,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
