scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,113,113,120,7,0.530973,0.443264,0.375319,0.067944,0.067944,-0.284848,0.555556,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,113,113,120,7,0.530973,0.031823,0.027907,0.003916,0.003916,-0.045657,0.042183,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,104,104,120,16,0.836538,0.3287,0.244953,0.083747,0.083747,-0.068808,0.283375,,,TAPB
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,104,104,120,16,0.951923,0.680932,0.554849,0.126082,0.126082,-0.027126,0.331026,,,TAPB
model,U2+E2 - U2,U2+E2 - U2,ok,review_lift,104,104,120,16,0.721154,1.927491,1.307636,0.619855,0.619855,-0.405749,1.708333,,,TAPB
model,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,104,104,120,16,0.721154,0.384772,0.261387,0.123385,0.123385,-0.080506,0.333333,,,TAPB
model,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.721154,0.035116,0.011488,0.023628,0.023628,-0.015021,0.09,,,TAPB
overall,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,297,297,360,63,0.683502,0.353014,0.312242,0.045351,0.045351,-0.234773,0.262474,,,
overall,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,297,297,360,63,0.734007,0.716527,0.67755,0.045929,0.045929,-0.292009,0.285441,,,
overall,U2+E2 - U,U2+E2 - U,ok,review_lift,301,301,360,59,0.58804,2.075459,1.803771,0.288174,0.288174,-1.688889,2.428571,,,
overall,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,301,301,360,59,0.58804,0.415094,0.361074,0.057654,0.057654,-0.333333,0.5,,,
overall,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,301,301,360,59,0.58804,0.037679,0.029573,0.008651,0.008651,-0.054094,0.079394,,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,147,147,180,33,0.680272,0.347346,0.312242,0.041564,0.041564,-0.231597,0.250848,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,147,147,180,33,0.734694,0.71359,0.67755,0.044924,0.044924,-0.292691,0.276869,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_lift,149,149,180,31,0.563758,2.030695,1.803771,0.255869,0.255869,-1.694722,2.428571,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,149,149,180,31,0.563758,0.406037,0.361074,0.051215,0.051215,-0.333333,0.5,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,149,149,180,31,0.563758,0.036471,0.029573,0.007806,0.007806,-0.056536,0.077941,drug,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,150,150,180,30,0.686667,0.358569,0.312242,0.049061,0.049061,-0.248714,0.270727,target,,
grouping,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,150,150,180,30,0.733333,0.719406,0.67755,0.046915,0.046915,-0.251089,0.290194,target,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_lift,152,152,180,28,0.611842,2.119341,1.803771,0.31984,0.31984,-1.62,2.428571,target,,
grouping,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,152,152,180,28,0.611842,0.423972,0.361074,0.063966,0.063966,-0.333333,0.5,target,,
grouping,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,152,152,180,28,0.611842,0.038864,0.029573,0.009478,0.009478,-0.051928,0.079061,target,,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,92,92,120,28,0.804348,0.428429,0.314661,0.113768,0.113768,-0.205083,0.777778,,bindingdb,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,92,92,120,28,0.793478,0.682079,0.623592,0.058487,0.058487,-0.239886,0.28125,,bindingdb,
dataset,U2+E2 - U,U2+E2 - U,ok,review_lift,96,96,120,24,0.697917,1.809154,1.282056,0.527098,0.527098,-1.546761,2.5,,bindingdb,
dataset,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,96,96,120,24,0.697917,0.363588,0.257793,0.105795,0.105795,-0.310697,0.5,,bindingdb,
dataset,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,96,96,120,24,0.697917,0.037396,0.018759,0.018637,0.018637,-0.071854,0.08743,,bindingdb,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,120,120,120,0,0.825,0.300833,0.241877,0.058956,0.058956,-0.077989,0.183891,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,120,120,120,0,0.966667,0.764139,0.663639,0.1005,0.1005,-0.002252,0.200352,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,review_lift,120,120,120,0,0.708333,2.362784,1.825407,0.537377,0.537377,-0.625189,2.000357,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,review_recall_of_residual_errors,120,120,120,0,0.708333,0.471837,0.364618,0.10722,0.10722,-0.125,0.4,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,retained_accuracy_gain_vs_residual,120,120,120,0,0.708333,0.036877,0.023986,0.012891,0.012891,-0.014972,0.051282,,biosnap,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auprc,85,85,120,35,0.352941,0.345056,0.388366,-0.047908,-0.047908,-0.478654,0.221439,,human,
dataset,U2+E2 - U,U2+E2 - U,ok,error_detection_auroc,85,85,120,35,0.341176,0.686595,0.738972,-0.044704,-0.044704,-0.412138,0.310769,,human,
