model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,comparison,metric,delta,selected_v2_profile
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.022914,
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.077264,
TAPB,bindingdb,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.002339,
TAPB,bindingdb,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.045973,
TAPB,bindingdb,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.077788,
TAPB,bindingdb,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.040893,
TAPB,bindingdb,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.007085,
TAPB,bindingdb,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,bindingdb,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.016348,
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.009446,
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.006793,
TAPB,bindingdb,seed_7,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,bindingdb,seed_7,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.004307,
TAPB,bindingdb,seed_7,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.041908,
TAPB,bindingdb,seed_7,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.076437,
TAPB,bindingdb,seed_7,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.038468,
TAPB,bindingdb,seed_8,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.010423,
TAPB,bindingdb,seed_8,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.012961,
TAPB,bindingdb,seed_8,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.028275,
TAPB,bindingdb,seed_8,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.027024,
TAPB,bindingdb,seed_8,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.015237,
TAPB,bindingdb,seed_8,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.029055,
TAPB,bindingdb,seed_8,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.032202,
TAPB,bindingdb,seed_8,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.044253,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.005006,
TAPB,human,seed_4,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.336208,
TAPB,human,seed_4,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.244177,
TAPB,human,seed_4,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.646002,
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.192722,
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.336773,
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.405914,
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.648943,
TAPB,human,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.127859,
TAPB,human,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.142743,
TAPB,human,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.236491,
TAPB,human,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.077502,
TAPB,human,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.244863,
TAPB,human,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,human,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,human,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.010446,
TAPB,human,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.087849,
TAPB,human,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.010704,
TAPB,human,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.04364,
TAPB,human,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.082757,
TAPB,human,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.09024,
TAPB,human,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.010704,
TAPB,human,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.04364,
TAPB,human,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.082757,
TAPB,human,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,human,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.150598,
TAPB,human,seed_7,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,human,seed_7,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.164774,
TAPB,human,seed_7,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.119628,
TAPB,human,seed_7,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.23846,
TAPB,human,seed_7,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.137652,
TAPB,human,seed_7,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.164805,
TAPB,human,seed_8,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,human,seed_8,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.246347,
TAPB,human,seed_8,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.063905,
TAPB,human,seed_8,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.134177,
