model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_error_detection_auprc,uncertainty_review_error_rate,uncertainty_combined_recall_of_candidate_errors,uncertainty_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auprc,uncertainty_deduplicated_review_error_rate,uncertainty_deduplicated_combined_recall_of_candidate_errors,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,transfer_type,held_out_domain,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,237,96.0,0.405063,0.691342,0.552923,47,26.0,0.553191,1.365691,0.270833,0.363636,0.631579,0.036642,,,,,,,,,,,,,,0.502837,0.510638,0.345455,0.026116,,,,,leave_one_dataset_out,bindingdb,prior,0.050086,,0.042553,,0.018181,,0.010526,
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,210,82.0,0.390476,0.680831,0.525681,42,23.0,0.547619,1.402439,0.280488,0.463636,0.64881,0.039286,,,,,,,,,,,,,,0.505618,0.547619,0.463636,0.039286,,,,,leave_one_dataset_out,bindingdb,prior,0.020063,,0.0,,0.0,,0.0,
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,179,66.0,0.368715,0.700858,0.53099,36,19.0,0.527778,1.431397,0.287879,0.38961,0.671329,0.040044,,,,,,,,,,,,,,0.52118,0.472222,0.363636,0.026058,,,,,leave_one_dataset_out,bindingdb,prior,0.00981,,0.055556,,0.025974,,0.013986,
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,159,56.0,0.352201,0.710992,0.564706,32,19.0,0.59375,1.685826,0.339286,0.519481,0.708661,0.060863,,,,,,,,,,,,,,0.46028,0.53125,0.493506,0.045115,,,,,leave_one_dataset_out,bindingdb,prior,0.104426,,0.0625,,0.025975,,0.015748,
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,231,47.0,0.203463,0.545097,0.206917,46,7.0,0.152174,0.747919,0.148936,0.285714,0.783784,-0.012753,,,,,,,,,,,,,,0.268967,0.282609,0.392857,0.019679,,,,,leave_one_dataset_out,bindingdb,prior,-0.06205,,-0.130435,,-0.107143,,-0.032432,
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,206,39.0,0.18932,0.541072,0.194769,41,6.0,0.146341,0.772983,0.153846,0.410714,0.8,-0.01068,,,,,,,,,,,,,,0.264843,0.268293,0.5,0.019623,,,,,leave_one_dataset_out,bindingdb,prior,-0.070074,,-0.121952,,-0.089286,,-0.030303,
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,149,25.0,0.167785,0.512581,0.165851,30,5.0,0.166667,0.993333,0.2,0.285714,0.831933,-0.000282,,,,,,,,,,,,,,0.265651,0.233333,0.357143,0.016525,,,,,leave_one_dataset_out,bindingdb,prior,-0.0998,,-0.066666,,-0.071429,,-0.016807,
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,132,20.0,0.151515,0.458482,0.135993,26,2.0,0.076923,0.507692,0.1,0.357143,0.830189,-0.018296,,,,,,,,,,,,,,0.213717,0.230769,0.5,0.01944,,,,,leave_one_dataset_out,bindingdb,prior,-0.077724,,-0.153846,,-0.142857,,-0.037736,
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,155,17.0,0.109677,0.536658,0.115805,31,2.0,0.064516,0.588235,0.117647,0.347826,0.879032,-0.01129,,,,,,,,,,,,,,0.111853,0.064516,0.347826,-0.01129,,,,,leave_one_dataset_out,bindingdb,prior,0.003952,,0.0,,0.0,,0.0,
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,138,16.0,0.115942,0.601947,0.155457,28,4.0,0.142857,1.232143,0.25,0.478261,0.890909,0.006851,,,,,,,,,,,,,,0.136377,0.071429,0.391304,-0.011331,,,,,leave_one_dataset_out,bindingdb,prior,0.01908,,0.071428,,0.086957,,0.018182,
