group_axis,review_fraction,method,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
target,0.3,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.21474349082,-0.269569453351,-0.148446195353,40,0.05
target,0.3,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.062233804624,-0.0806572759,-0.041503493638,40,0.05
target,0.3,native_max_shift,delta_error_detection_auprc_vs_pause,-0.110631106974,-0.184415613572,-0.017919385603,43,0.116279069767
target,0.3,native_max_shift,delta_review_error_rate_vs_pause,-0.155475213955,-0.198302746026,-0.111486231111,40,0.05
target,0.3,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.234329476536,-0.287210657366,-0.171440573768,40,0.05
target,0.3,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.066422620703,-0.08475746761,-0.047632976486,40,0.05
target,0.3,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.039332484303,-0.075748291029,-0.009016323236,43,0.209302325581
target,0.3,raw_uncertainty,delta_review_error_rate_vs_pause,-0.02247053955,-0.044879967736,-0.004031269367,40,0.175
target,0.3,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.034541639866,-0.062067027671,-0.007424675783,40,0.175
target,0.3,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.009622492465,-0.019480541664,-0.001818769166,40,0.175
